issuenumber,resolution_time,room,configuration
12819,1,angular,Random
12825,141,angular,Random
12839,5,angular,Random
12840,1323,angular,Random
12843,0,angular,Random
12849,29,angular,Random
12900,NA,angular,Random
12914,4,angular,Random
12916,0,angular,Random
12924,4366,angular,Random
12930,1,angular,Random
12941,690,angular,Random
12944,0,angular,Random
12966,592,angular,Random
12967,0,angular,Random
12980,91,angular,Random
12994,18,angular,Random
13004,22,angular,Random
13016,8298,angular,Random
13028,104,angular,Random
13030,NA,angular,Random
13040,26,angular,Random
13046,14,angular,Random
13052,1,angular,Random
13060,13927,angular,Random
13078,53,angular,Random
13097,1,angular,Random
13120,NA,angular,Random
13150,150,angular,Random
13152,879,angular,Random
13174,13,angular,Random
13192,112,angular,Random
13216,2327,angular,Random
13217,2,angular,Random
13218,NA,angular,Random
13285,1,angular,Random
13302,4,angular,Random
13311,5,angular,Random
13317,0,angular,Random
13345,1,angular,Random
13350,NA,angular,Random
13394,36,angular,Random
13422,1,angular,Random
13426,32,angular,Random
13435,NA,angular,Random
13438,30,angular,Random
13443,184,angular,Random
13453,4596,angular,Random
13487,NA,angular,Random
13527,69,angular,Random
13555,NA,angular,Random
13576,21,angular,Random
13627,4,angular,Random
13647,116,angular,Random
13703,4,angular,Random
13726,NA,angular,Random
13728,1,angular,Random
13729,23,angular,Random
13734,1,angular,Random
13735,9,angular,Random
13738,0,angular,Random
13745,8432,angular,Random
13757,4,angular,Random
13782,726,angular,Random
13799,2,angular,Random
13811,440,angular,Random
13820,2321,angular,Random
13845,44,angular,Random
13849,423,angular,Random
13854,NA,angular,Random
13884,487,angular,Random
13887,NA,angular,Random
13897,319,angular,Random
13935,1300,angular,Random
13937,0,angular,Random
13960,NA,angular,Random
13964,0,angular,Random
14005,143,angular,Random
14006,316,angular,Random
14019,NA,angular,Random
14036,754,angular,Random
14050,1,angular,Random
14056,27,angular,Random
14078,18,angular,Random
14096,NA,angular,Random
14121,135,angular,Random
14127,1,angular,Random
14139,2129,angular,Random
14144,1251,angular,Random
14204,18482,angular,Random
14246,4,angular,Random
14252,18449,angular,Random
14262,1336,angular,Random
14263,7573,angular,Random
14267,413,angular,Random
14271,4,angular,Random
14306,406,angular,Random
14329,11109,angular,Random
14339,67,angular,Random
14349,NA,angular,Random
14357,14,angular,Random
14375,668,angular,Random
14376,NA,angular,Random
14387,2,angular,Random
14398,9,angular,Random
14432,0,angular,Random
14455,19,angular,Random
14511,30,angular,Random
14513,1085,angular,Random
14558,1,angular,Random
14570,23,angular,Random
14600,205,angular,Random
14606,6744,angular,Random
14637,0,angular,Random
14638,4554,angular,Random
14651,21,angular,Random
14686,601,angular,Random
14708,17781,angular,Random
14714,76,angular,Random
14753,9,angular,Random
14757,3534,angular,Random
14758,4,angular,Random
14767,6,angular,Random
14782,171,angular,Random
14792,6615,angular,Random
14796,370,angular,Random
14826,1,angular,Random
14829,0,angular,Random
14830,4,angular,Random
14873,265,angular,Random
14896,7002,angular,Random
14921,31,angular,Random
14923,277,angular,Random
14963,1054,angular,Random
14966,1486,angular,Random
14970,167,angular,Random
14976,153,angular,Random
14992,196,angular,Random
15008,121,angular,Random
15021,142,angular,Random
15027,NA,angular,Random
15033,6845,angular,Random
15034,127,angular,Random
15038,3330,angular,Random
15069,3303,angular,Random
15082,1,angular,Random
15111,81,angular,Random
15117,NA,angular,Random
15119,7,angular,Random
15136,NA,angular,Random
15145,4,angular,Random
15161,999,angular,Random
15178,NA,angular,Random
15182,22,angular,Random
15230,4,angular,Random
15244,0,angular,Random
15255,NA,angular,Random
15279,17235,angular,Random
15280,NA,angular,Random
15283,13,angular,Random
15326,39,angular,Random
15341,3,angular,Random
15343,6,angular,Random
15352,3,angular,Random
15356,NA,angular,Random
15358,2,angular,Random
15376,NA,angular,Random
15380,1,angular,Random
15388,6253,angular,Random
15389,7,angular,Random
15398,4,angular,Random
15435,162,angular,Random
15471,771,angular,Random
15485,583,angular,Random
15510,NA,angular,Random
15542,18,angular,Random
15577,NA,angular,Random
15591,31,angular,Random
15604,2,angular,Random
15622,0,angular,Random
15625,343,angular,Random
15632,1,angular,Random
15654,10,angular,Random
15691,0,angular,Random
15712,52,angular,Random
15721,17920,angular,Random
15737,20,angular,Random
15740,6295,angular,Random
15770,12452,angular,Random
15790,8888,angular,Random
15799,4,angular,Random
15814,45,angular,Random
15819,36,angular,Random
15822,154,angular,Random
15834,24,angular,Random
15842,5,angular,Random
15848,NA,angular,Random
15857,NA,angular,Random
15873,NA,angular,Random
15874,5,angular,Random
15891,56,angular,Random
15892,5724,angular,Random
15917,NA,angular,Random
15925,464,angular,Random
15966,9,angular,Random
15982,3469,angular,Random
15997,5976,angular,Random
16007,326,angular,Random
16065,2761,angular,Random
16084,50,angular,Random
16094,50,angular,Random
16097,352,angular,Random
16101,273,angular,Random
16104,16,angular,Random
16141,2,angular,Random
16168,0,angular,Random
16177,22,angular,Random
16193,500,angular,Random
16210,1535,angular,Random
16215,0,angular,Random
16232,2693,angular,Random
16258,22,angular,Random
16263,0,angular,Random
16267,6,angular,Random
16269,37,angular,Random
16292,6,angular,Random
16307,0,angular,Random
16311,12838,angular,Random
16317,152,angular,Random
16329,20132,angular,Random
16362,4,angular,Random
16369,5570,angular,Random
16383,11,angular,Random
16385,2,angular,Random
16406,5486,angular,Random
16434,15903,angular,Random
16447,12191,angular,Random
16465,5404,angular,Random
16499,12,angular,Random
16509,1,angular,Random
16514,157,angular,Random
16538,NA,angular,Random
16566,NA,angular,Random
16615,64,angular,Random
16646,24,angular,Random
16649,NA,angular,Random
16670,NA,angular,Random
16674,15,angular,Random
16695,NA,angular,Random
16714,15444,angular,Random
16743,11,angular,Random
16760,4182,angular,Random
16764,10,angular,Random
16798,NA,angular,Random
16816,24,angular,Random
16819,35,angular,Random
16843,0,angular,Random
16845,5024,angular,Random
16857,6361,angular,Random
16870,7,angular,Random
16917,92,angular,Random
16930,NA,angular,Random
16933,NA,angular,Random
16945,14,angular,Random
16947,209,angular,Random
16980,36,angular,Random
16984,159,angular,Random
16996,NA,angular,Random
17004,NA,angular,Random
17022,274,angular,Random
17058,1846,angular,Random
17071,46,angular,Random
17086,79,angular,Random
17117,1,angular,Random
17132,170,angular,Random
17168,12276,angular,Random
17182,1,angular,Random
17183,1461,angular,Random
17198,NA,angular,Random
17202,10610,angular,Random
17216,427,angular,Random
17221,55,angular,Random
17240,321,angular,Random
17262,26,angular,Random
17270,66,angular,Random
17287,NA,angular,Random
17298,NA,angular,Random
17309,195,angular,Random
17320,NA,angular,Random
17334,3990,angular,Random
17345,1129,angular,Random
17347,788,angular,Random
17359,NA,angular,Random
17360,40,angular,Random
17363,87,angular,Random
17368,2103,angular,Random
17396,72,angular,Random
17407,4422,angular,Random
17418,31,angular,Random
17425,82,angular,Random
17426,697,angular,Random
17443,4945,angular,Random
17449,18,angular,Random
17474,12574,angular,Random
17478,1741,angular,Random
17493,1305,angular,Random
17496,6085,angular,Random
17536,4395,angular,Random
17538,296,angular,Random
17553,714,angular,Random
17581,4350,angular,Random
17604,1890,angular,Random
17653,13,angular,Random
17691,530,angular,Random
17729,735,angular,Random
17733,2922,angular,Random
17786,4,angular,Random
17788,325,angular,Random
17795,3334,angular,Random
17826,17299,angular,Random
17833,606,angular,Random
17895,5323,angular,Random
17904,4459,angular,Random
17909,178,angular,Random
17943,986,angular,Random
17956,110,angular,Random
18012,1362,angular,Random
18018,14515,angular,Random
18025,NA,angular,Random
18058,1,angular,Random
18077,24,angular,Random
18118,111,angular,Random
18133,141,angular,Random
18145,7327,angular,Random
18191,NA,angular,Random
18192,28,angular,Random
18222,NA,angular,Random
18285,NA,angular,Random
18286,1,angular,Random
18291,9,angular,Random
18298,85,angular,Random
18308,NA,angular,Random
18309,3273,angular,Random
18310,NA,angular,Random
18313,1,angular,Random
18320,1,angular,Random
18342,NA,angular,Random
